[Countries]
CYDQ|Dawson Creek|55.741667|-120.181944||CZEG|0
CYEA|Empress|50.933517|-110.013503||CZEG|0
CYED|Edmonton Namao|53.66667|-113.46639||CZEG|0
CYEE|Midland|44.684722|-79.929444||CZYZ|0
CYEG|Edmonton|53.309722|-113.579722||CZEG|0
CYEK|Arviat|61.1|-94.06639||CZEG|0
CYEL|Elliot Lake|46.351389|-82.561389||CZYZ|0
CYEM|Manitowaning-East Manitoulin|45.8425|-81.8575||CZYZ|0
CYEN|Estevan|49.21667|-102.96639||CZWG|0
CYER|Fort Severn|56.018889|-87.676111||CZWG|0
CYES|Edmundston|47.489938|-68.481785||CZUL|0
CYET|Edson|53.578889|-116.465||CZEG|0
CYEU|Eureka Man|80|-85.81639||CZEG|0
CYEV|Inuvik|68.304167|-133.482778||CZEG|0
CYEY|Amos/Magny|48.563889|-78.249721||CZUL|0
CYFA|Fort Albany|52.203611|-81.695833||CZYZ|0
CYFB|Iqaluit|63.756389|-68.555833||CZUL|0
CYFC|Fredericton|45.869444|-66.531667||CZQM|0
CYFD|Brantford|43.131389|-80.3425||CZYZ|0
CYFE|Forestville|48.746111|-69.097222|YFE|CZUL|0
CYFH|Fort Hope|51.561962|-87.907715|YFH|CZWG|0
CYFI|Firebag|57.275723|-110.976675|YFI|CZEG|0
CYFJ|La Macaza – Mont-Tremblant International|46.409444|-74.779999||CZUL|0
CYFO|Flin Flon|54.678056|-101.681667||CZEG|0
CYFR|Fort Resolution|61.18306|-113.68306||CZEG|0
CYFS|Fort Simpson|61.760278|-121.236667||CZEG|0
CYFT|Makkovik|55.08306|-59.18306||CZQX|0
CYGB|Gillies Bay|49.694167|-124.517778|YGB|CZVR|0
CYGD|Goderich|43.766944|-81.710556||CZYZ|0
CYGE|Golden|51.29972|-116.98306||CZEG|0
CYGH|Fort Good Hope|66.26667|-128.61639||CZEG|0
CYGK|Kingston|44.225278|-76.596944|YGK|CZUL|0
CYGL|La Grande Riviere|53.625278|-77.704167||CZUL|0
CYGM|Gimli Industrial|50.61667|-97.03306||CZWG|0
CYGO|Gods Lake Narrows|54.558382|-94.490856|YGO|CZWG|0
CYGP|Gaspe|48.775278|-64.478611||CZUL|0
CYGQ|Greenstone/Geraldton|49.7786944|-86.93855||CZWG|0
